Day,Defective Rate,UCL,LCL,Ave. Rate
2019-01-02,0.07777777777777778,0.0822096334036862,0.00687910212856397,0.04454436776612509
2019-01-03,0.017412935323383085,0.06637141018131483,0.022717325350935347,0.04454436776612509
2019-01-04,0.03553299492385787,0.07000265465998681,0.019086080872263364,0.04454436776612509
2019-01-05,0.04597701149425287,0.06962360192914462,0.01946513360310556,0.04454436776612509
2019-01-06,0.05789473684210526,0.08944434453308495,-0.0003556090008347626,0.04454436776612509
2019-01-07,0.04118616144975288,0.06966488464706697,0.019423850885183204,0.04454436776612509
2019-01-08,0.04783258594917788,0.06847255828154558,0.020616177250704595,0.04454436776612509
2019-01-09,0.04247104247104247,0.06674740602906329,0.022341329503186895,0.04454436776612509
2019-01-10,0.043029259896729774,0.07022081020626954,0.018867925325980642,0.04454436776612509
2019-01-11,0.06230529595015576,0.0644882533131895,0.024600482219060683,0.04454436776612509
2019-01-12,0.03666666666666667,0.06981099607297717,0.019277739459273004,0.04454436776612509
2019-01-14,0.03614457831325301,0.06718886151595398,0.0218998740162962,0.04454436776612509
2019-01-15,0.039651837524177946,0.06379135008625275,0.025297385445997418,0.04454436776612509
2019-01-16,0.02815768302493966,0.062098822832499845,0.02698991269975033,0.04454436776612509
2019-01-17,0.022179363548698167,0.06376348954235458,0.0253252459898956,0.04454436776612509
2019-01-18,0.03911111111111111,0.06299650413380703,0.026092231398443154,0.04454436776612509
2019-01-19,0.04633920296570899,0.06338572545580168,0.0257030100764485,0.04454436776612509
2019-01-20,0.028604118993135013,0.0654790898786593,0.02360964565359087,0.04454436776612509
2019-01-21,0.05533980582524272,0.0638286866534876,0.025260048878762566,0.04454436776612509
2019-01-22,0.04795117698343505,0.06281868702021765,0.026270048512032525,0.04454436776612509
2019-01-23,0.03382838283828383,0.06232190540643911,0.02676683012581107,0.04454436776612509
2019-01-24,0.03977272727272727,0.06217701678327478,0.026911718748975397,0.04454436776612509
2019-01-25,0.06260162601626017,0.06219134644757979,0.02689738908467039,0.04454436776612509
2019-01-26,0.041804180418041806,0.05905966646675544,0.030029069065494737,0.04454436776612509
2019-01-27,0.08025682182985554,0.062077677125085926,0.02701105840716425,0.04454436776612509
2019-01-28,0.03933518005540166,0.05911184384587398,0.029976891686376194,0.04454436776612509
2019-01-29,0.033622559652928416,0.058956971907410255,0.030131763624839925,0.04454436776612509
2019-01-30,0.043586550435865505,0.059988024723688485,0.02910071080856169,0.04454436776612509
2019-01-31,0.03272727272727273,0.061234953105781184,0.027853782426468993,0.04454436776612509
2019-02-01,0.033140016570008285,0.06235868909493079,0.02673004643731939,0.04454436776612509
2019-02-02,0.0358814352574103,0.061829746679512694,0.027258988852737483,0.04454436776612509
2019-02-03,0.02204724409448819,0.06910480274386964,0.019983932788380537,0.04454436776612509
2019-02-07,0.06733167082294264,0.0663986089986146,0.022690126533635575,0.04454436776612509
2019-02-08,0.03257328990228013,0.062205711104969676,0.0268830244272805,0.04454436776612509
2019-02-09,0.03828623518687329,0.06323050796547217,0.025858227566778007,0.04454436776612509
2019-02-10,0.07114624505928854,0.07205798292241314,0.017030752609837045,0.04454436776612509
2019-02-11,0.050359712230215826,0.0631040494393415,0.025984686092908667,0.04454436776612509
2019-02-12,0.07221206581352833,0.0632561112753104,0.025832624256939773,0.04454436776612509
2019-02-13,0.07095553453169347,0.06358079412389776,0.025507941408352417,0.04454436776612509
2019-02-14,0.05979760809567617,0.06331626399284165,0.025772471539408516,0.04454436776612509
2019-02-15,0.12634408602150538,0.06723446980737724,0.021854265724872944,0.04454436776612509
2019-02-16,0.0499001996007984,0.0640962717577719,0.02499246377447828,0.04454436776612509
2019-02-17,0.0779467680608365,0.0715298413826457,0.017558894149604466,0.04454436776612509
2019-02-18,0.046511627906976744,0.062070645518884165,0.027018090013366015,0.04454436776612509
2019-02-19,0.03926282051282051,0.06206362236582606,0.027025113166424114,0.04454436776612509
2019-02-20,0.052809749492213946,0.06064832724505761,0.02844040828719257,0.04454436776612509
2019-02-21,0.049783549783549784,0.05894136540132644,0.030147370130923737,0.04454436776612509
2019-02-22,0.034482758620689655,0.05879936835176298,0.0302893671804872,0.04454436776612509
2019-02-23,0.030601659751037343,0.058639508029513426,0.03044922750273675,0.04454436776612509
2019-02-24,0.048567870485678705,0.06638499688814886,0.022703738644101322,0.04454436776612509
2019-02-25,0.028795811518324606,0.058705769174243916,0.03038296635800626,0.04454436776612509
2019-02-26,0.04517568321249303,0.05916051038259287,0.02992822514965731,0.04454436776612509
2019-02-27,0.03371970495258166,0.05875046597578318,0.030338269556467,0.04454436776612509
2019-02-28,0.03372333103922918,0.060780781507326666,0.02830795402492351,0.04454436776612509
2019-03-01,0.03661513425549227,0.06219852439324228,0.026890211139007903,0.04454436776612509
2019-03-02,0.004830917874396135,0.07496181379933942,0.01412692173291076,0.04454436776612509
2019-03-03,0.09047619047619047,0.08725276459848513,0.0018359709337650507,0.04454436776612509
2019-03-04,0.0364963503649635,0.062169865029171156,0.026918870503079024,0.04454436776612509
2019-03-05,0.052752293577981654,0.06550308383737984,0.023585651694870344,0.04454436776612509
2019-03-06,0.037934668071654375,0.0646348245226277,0.024453911009622475,0.04454436776612509
2019-03-07,0.047952586206896554,0.05891030388157002,0.030178431650680158,0.04454436776612509
2019-03-08,0.06451612903225806,0.05939852635616937,0.029690209176080805,0.04454436776612509
2019-03-09,0.04690117252931323,0.05916866898921004,0.029920066543040136,0.04454436776612509
2019-03-10,0.05790108564535585,0.06603977372179387,0.023048961810456313,0.04454436776612509
2019-03-11,0.04705215419501134,0.05928016464049397,0.02980857089175621,0.04454436776612509
2019-03-12,0.017475728155339806,0.0718165130777608,0.017272222454489373,0.04454436776612509
