contamination,n_estimators,max_samples,max_features,recall
0.4,80,1.0,0.6,0.9350411710887465
0.4,90,1.0,0.6,0.9313815187557182
0.4,100,1.0,0.6,0.9301616346447088
0.4,110,1.0,0.6,0.9277218664226898
0.35000000000000003,80,1.0,0.6,0.9265019823116803
0.4,120,1.0,0.6,0.9249771271729186
0.4,110,0.8,0.6,0.9243671851174139
0.4,90,0.8,0.6,0.9225373589508996
0.4,120,1.0,0.8,0.9222323879231473
0.4,80,0.6,0.6,0.9207075327843854
0.4,120,0.8,0.6,0.9204025617566332
0.35000000000000003,90,1.0,0.6,0.9200975907288808
0.4,100,0.8,0.6,0.9200975907288808
0.35000000000000003,100,1.0,0.6,0.9200975907288808
0.4,110,1.0,0.8,0.9191826776456237
0.35000000000000003,110,1.0,0.6,0.9182677645623666
0.4,80,0.8,0.6,0.9182677645623666
0.4,100,1.0,0.8,0.9173528514791095
0.4,90,0.6,0.6,0.9170478804513571
0.35000000000000003,120,1.0,0.6,0.9152180542848429
0.4,110,0.6,0.6,0.9136931991460812
0.4,120,0.6,0.6,0.9133882281183288
0.3,80,1.0,0.6,0.9121683440073193
0.4,90,1.0,0.8,0.9115584019518146
0.4,100,0.6,0.6,0.9115584019518146
0.35000000000000003,110,0.8,0.6,0.9115584019518146
0.4,80,1.0,0.8,0.9103385178408051
0.35000000000000003,90,0.8,0.6,0.9103385178408051
0.35000000000000003,80,0.6,0.6,0.909423604757548
0.35000000000000003,120,0.8,0.6,0.909423604757548
0.4,100,0.8,0.8,0.909423604757548
0.35000000000000003,120,1.0,0.8,0.9088136627020433
0.35000000000000003,100,0.8,0.6,0.9078987496187862
0.3,90,1.0,0.6,0.9063738944800244
0.4,110,0.8,0.8,0.9063738944800244
0.4,120,0.8,0.8,0.905154010369015
0.4,80,0.8,0.8,0.905154010369015
0.35000000000000003,110,1.0,0.8,0.9048490393412626
0.4,100,0.6,0.8,0.9048490393412626
0.35000000000000003,90,0.6,0.6,0.9048490393412626
0.3,100,1.0,0.6,0.9048490393412626
0.4,90,0.6,0.8,0.9048490393412626
0.35000000000000003,80,0.8,0.6,0.9045440683135102
0.4,90,0.8,0.8,0.9042390972857578
0.4,80,0.6,0.8,0.9030192131747484
0.35000000000000003,120,0.6,0.6,0.902714242146996
0.3,110,1.0,0.6,0.9024092711192436
0.4,120,0.6,0.8,0.9005794449527295
0.35000000000000003,110,0.6,0.6,0.9002744739249772
0.35000000000000003,100,1.0,0.8,0.9002744739249772
0.4,110,0.6,0.8,0.9002744739249772
0.35000000000000003,100,0.8,0.8,0.8999695028972248
0.35000000000000003,80,0.8,0.8,0.8987496187862153
0.35000000000000003,100,0.6,0.6,0.898444647758463
0.35000000000000003,110,0.8,0.8,0.8981396767307106
0.3,120,1.0,0.6,0.8978347057029582
0.4,110,0.8,1.0,0.8975297346752058
0.35000000000000003,90,0.6,0.8,0.8975297346752058
0.4,120,0.8,1.0,0.8972247636474535
0.3,120,1.0,0.8,0.8969197926197011
0.25,80,1.0,0.6,0.8969197926197011
0.35000000000000003,120,0.8,0.8,0.8966148215919487
0.35000000000000003,90,0.8,0.8,0.8953949374809393
0.3,90,0.8,0.6,0.8947849954254345
0.35000000000000003,80,1.0,0.8,0.8944800243976823
0.3,110,0.8,0.6,0.8944800243976823
0.35000000000000003,100,0.6,0.8,0.8941750533699299
0.4,80,0.6,1.0,0.8935651113144252
0.3,80,0.8,0.6,0.8932601402866728
0.3,80,0.6,0.6,0.8932601402866728
0.4,90,0.6,1.0,0.8926501982311681
0.3,100,0.8,0.6,0.8923452272034157
0.35000000000000003,90,1.0,0.8,0.8920402561756633
0.3,100,0.8,0.8,0.8920402561756633
0.35000000000000003,80,0.6,0.8,0.8917352851479109
0.3,120,0.8,0.6,0.8914303141201586
0.3,110,1.0,0.8,0.8914303141201586
0.3,120,0.6,0.6,0.8911253430924062
0.35000000000000003,120,0.6,0.8,0.8911253430924062
0.3,110,0.6,0.6,0.8911253430924062
0.3,90,0.6,0.6,0.8908203720646538
0.4,100,0.8,1.0,0.8908203720646538
0.3,80,0.8,0.8,0.8905154010369015
0.4,110,0.6,1.0,0.8902104300091491
0.25,90,1.0,0.6,0.8902104300091491
0.4,100,0.6,1.0,0.8899054589813967
0.3,90,0.8,0.8,0.8886855748703874
0.4,120,0.6,1.0,0.8886855748703874
0.4,80,0.8,1.0,0.8880756328148826
0.35000000000000003,110,0.6,0.8,0.8874656907593779
0.3,110,0.8,0.8,0.8871607197316255
0.3,100,0.6,0.6,0.8862458066483684
0.25,100,1.0,0.6,0.8856358645928637
0.3,120,0.8,0.8,0.8853308935651113
0.4,90,0.8,1.0,0.8841110094541018
0.3,100,1.0,0.8,0.8841110094541018
0.35000000000000003,110,0.8,1.0,0.8838060384263495
0.3,90,0.6,0.8,0.8838060384263495
0.35000000000000003,120,0.8,1.0,0.8835010673985971
0.35000000000000003,80,0.6,1.0,0.8835010673985971
0.3,100,0.6,0.8,0.8831960963708447
0.25,110,1.0,0.6,0.881671241232083
0.25,80,0.8,0.8,0.8813662702043306
0.35000000000000003,90,0.6,1.0,0.8804513571210735
0.35000000000000003,100,0.8,1.0,0.8804513571210735
0.3,80,0.6,0.8,0.8798414150655688
0.35000000000000003,100,0.6,1.0,0.879231473010064
0.35000000000000003,110,0.6,1.0,0.8786215309545593
0.25,120,1.0,0.8,0.8786215309545593
0.3,120,0.6,0.8,0.8786215309545593
0.25,100,0.8,0.8,0.8783165599268069
0.3,80,1.0,0.8,0.8780115888990546
0.25,80,0.6,0.6,0.8780115888990546
0.3,90,1.0,0.8,0.8774016468435498
0.25,120,1.0,0.6,0.8774016468435498
0.25,90,0.8,0.6,0.8767917047880451
0.25,110,0.6,0.6,0.8767917047880451
0.25,90,0.8,0.8,0.8767917047880451
0.25,120,0.6,0.6,0.8764867337602927
0.3,110,0.6,0.8,0.8764867337602927
0.35000000000000003,120,0.6,1.0,0.875876791704788
0.25,90,0.6,0.6,0.875876791704788
0.25,120,0.8,0.6,0.8752668496492834
0.2,80,1.0,0.6,0.8752668496492834
0.25,120,0.8,0.8,0.874961878621531
0.25,110,0.8,0.8,0.874961878621531
0.25,80,0.8,0.6,0.8746569075937786
0.25,110,0.8,0.6,0.8743519365660263
0.25,110,1.0,0.8,0.8740469655382739
0.35000000000000003,80,0.8,1.0,0.8737419945105215
0.35000000000000003,90,0.8,1.0,0.8728270814272644
0.25,100,0.8,0.6,0.8728270814272644
0.3,80,0.6,1.0,0.8709972552607502
0.3,110,0.8,1.0,0.8709972552607502
0.4,90,1.0,1.0,0.8703873132052455
0.25,90,0.6,0.8,0.8703873132052455
0.3,100,0.8,1.0,0.8703873132052455
0.25,100,0.6,0.6,0.8703873132052455
0.3,120,0.8,1.0,0.8697773711497407
0.25,100,0.6,0.8,0.8697773711497407
0.25,100,1.0,0.8,0.8688624580664837
0.3,90,0.6,1.0,0.8685574870387314
0.25,80,0.6,0.8,0.8685574870387314
0.3,100,0.6,1.0,0.868252516010979
0.2,90,1.0,0.6,0.8670326318999695
0.4,120,1.0,1.0,0.8667276608722171
0.4,100,1.0,1.0,0.8661177188167124
0.3,110,0.6,1.0,0.86581274778896
0.25,120,0.6,0.8,0.8655077767612077
0.2,100,0.8,0.8,0.8652028057334553
0.4,80,1.0,1.0,0.8652028057334553
0.4,110,1.0,1.0,0.8645928636779506
0.25,110,0.6,0.8,0.8642878926501982
0.25,90,1.0,0.8,0.8642878926501982
0.3,120,0.6,1.0,0.8639829216224458
0.25,80,1.0,0.8,0.8639829216224458
0.2,110,0.8,0.8,0.8627630375114365
0.2,120,0.8,0.8,0.8624580664836841
0.2,100,1.0,0.6,0.8624580664836841
0.2,80,0.8,0.8,0.8624580664836841
0.2,120,0.6,0.6,0.861543153400427
0.2,90,0.8,0.8,0.8612381823726746
0.3,80,0.8,1.0,0.8609332113449222
0.2,80,0.6,0.6,0.8606282403171699
0.2,110,0.6,0.6,0.8603232692894175
0.2,110,1.0,0.6,0.8603232692894175
0.2,120,1.0,0.8,0.8600182982616651
0.2,90,0.8,0.6,0.8597133272339128
0.2,80,0.8,0.6,0.8597133272339128
0.2,90,0.6,0.6,0.8594083562061604
0.2,110,0.8,0.6,0.8587984141506557
0.2,120,1.0,0.6,0.8584934431229033
0.2,120,0.8,0.6,0.8581884720951509
0.2,100,0.8,0.6,0.8578835010673986
0.25,110,0.8,1.0,0.8575785300396462
0.2,110,1.0,0.8,0.8563586459286368
0.3,90,0.8,1.0,0.8557487038731321
0.2,90,0.6,0.8,0.8551387618176274
0.25,80,0.6,1.0,0.854833790789875
0.2,100,0.6,0.6,0.8542238487343702
0.25,120,0.8,1.0,0.8542238487343702
0.25,100,0.8,1.0,0.8542238487343702
0.2,100,0.6,0.8,0.8536139066788655
0.25,90,0.6,1.0,0.8533089356511131
0.35000000000000003,90,1.0,1.0,0.8533089356511131
0.35000000000000003,120,1.0,1.0,0.8520890515401037
0.2,80,0.6,0.8,0.8517840805123513
0.25,100,0.6,1.0,0.8499542543458372
0.2,100,1.0,0.8,0.8496492833180848
0.35000000000000003,100,1.0,1.0,0.8496492833180848
0.35000000000000003,110,1.0,1.0,0.8496492833180848
0.35000000000000003,80,1.0,1.0,0.8496492833180848
0.2,120,0.6,0.8,0.8496492833180848
0.25,110,0.6,1.0,0.8487343702348277
0.2,110,0.6,0.8,0.8478194571515706
0.2,80,1.0,0.8,0.8475144861238182
0.25,120,0.6,1.0,0.8472095150960659
0.2,90,1.0,0.8,0.8472095150960659
0.25,80,0.8,1.0,0.8462946020128088
0.25,90,0.8,1.0,0.8438548337907898
0.15000000000000002,100,0.8,0.8,0.8429399207075328
0.15000000000000002,120,0.8,0.8,0.8423299786520281
0.15000000000000002,120,0.6,0.6,0.8411100945410186
0.15000000000000002,80,1.0,0.6,0.8411100945410186
0.15000000000000002,90,0.8,0.8,0.8408051235132662
0.15000000000000002,80,0.8,0.8,0.8405001524855139
0.3,90,1.0,1.0,0.8401951814577615
0.15000000000000002,110,0.8,0.8,0.8392802683745044
0.2,110,0.8,1.0,0.8386703263189997
0.3,100,1.0,1.0,0.8380603842634949
0.15000000000000002,80,0.6,0.6,0.8377554132357427
0.15000000000000002,110,0.6,0.6,0.8368405001524856
0.2,100,0.8,1.0,0.8365355291247332
0.15000000000000002,90,0.6,0.6,0.8362305580969808
0.2,120,0.8,1.0,0.8359255870692284
0.15000000000000002,90,0.8,0.6,0.8359255870692284
0.15000000000000002,100,0.6,0.6,0.834705702958219
0.15000000000000002,80,0.8,0.6,0.8344007319304666
0.3,120,1.0,1.0,0.8334858188472095
0.3,110,1.0,1.0,0.8334858188472095
0.15000000000000002,110,0.8,0.6,0.8334858188472095
0.15000000000000002,90,1.0,0.6,0.8331808478194571
0.3,80,1.0,1.0,0.8331808478194571
0.15000000000000002,120,0.8,0.6,0.8328758767917048
0.15000000000000002,110,1.0,0.6,0.8322659347362
0.15000000000000002,120,1.0,0.8,0.831351021652943
0.15000000000000002,100,1.0,0.6,0.8310460506251907
0.2,80,0.6,1.0,0.8286062824031717
0.15000000000000002,100,0.8,0.6,0.8273863982921622
0.15000000000000002,110,1.0,0.8,0.8273863982921622
0.15000000000000002,120,1.0,0.6,0.8270814272644099
0.15000000000000002,120,0.6,0.8,0.8261665141811528
0.2,120,0.6,1.0,0.825556572125648
0.15000000000000002,100,0.6,0.8,0.825556572125648
0.15000000000000002,90,0.6,0.8,0.8249466300701433
0.2,100,0.6,1.0,0.8249466300701433
0.2,80,0.8,1.0,0.824641659042391
0.2,110,0.6,1.0,0.8243366880146387
0.15000000000000002,110,0.6,0.8,0.8222018908203721
0.2,90,0.8,1.0,0.8215919487648673
0.15000000000000002,80,0.6,0.8,0.821286977737115
0.15000000000000002,100,1.0,0.8,0.8206770356816102
0.25,90,1.0,1.0,0.817932296431839
0.25,100,1.0,1.0,0.8176273254040866
0.25,120,1.0,1.0,0.8124428179322964
0.15000000000000002,80,1.0,0.8,0.8124428179322964
0.25,80,1.0,1.0,0.812137846904544
0.25,110,1.0,1.0,0.8115279048490394
0.15000000000000002,90,1.0,0.8,0.8109179627935346
0.2,90,0.6,1.0,0.8087831655992681
0.15000000000000002,120,0.8,1.0,0.8023787740164684
0.15000000000000002,110,0.8,1.0,0.8020738029887161
0.15000000000000002,100,0.8,1.0,0.7999390057944495
0.1,100,0.8,0.8,0.7996340347666971
0.1,110,0.8,0.8,0.7953644403781641
0.1,120,0.8,0.8,0.7953644403781641
0.1,80,0.8,0.8,0.7953644403781641
0.1,110,0.6,0.6,0.7941445562671546
0.1,120,0.6,0.6,0.7932296431838975
0.1,90,0.8,0.8,0.7932296431838975
0.1,80,0.6,0.6,0.7880451357121073
0.2,100,1.0,1.0,0.7862153095455932
0.2,90,1.0,1.0,0.7853003964623361
0.2,120,1.0,1.0,0.7846904544068314
0.15000000000000002,110,0.6,1.0,0.784385483379079
0.15000000000000002,120,0.6,1.0,0.7828606282403172
0.1,90,0.6,0.6,0.7816407441293077
0.2,110,1.0,1.0,0.7816407441293077
0.1,100,0.6,0.6,0.7813357731015553
0.2,80,1.0,1.0,0.7807258310460506
0.15000000000000002,80,0.8,1.0,0.7785910338517841
0.15000000000000002,100,0.6,1.0,0.7779810917962794
0.15000000000000002,90,0.8,1.0,0.7737114974077463
0.1,90,0.8,0.6,0.7734065263799939
0.15000000000000002,80,0.6,1.0,0.7731015553522416
0.1,80,1.0,0.6,0.7721866422689845
0.1,120,0.8,0.6,0.7700518450747179
0.1,80,0.8,0.6,0.7679170478804513
0.1,110,0.8,0.6,0.7676120768526989
0.1,120,1.0,0.8,0.7666971637694419
0.1,120,0.6,0.8,0.7636474534919183
0.1,120,1.0,0.6,0.7602927721866423
0.1,110,0.6,0.8,0.7599878011588899
0.1,100,0.8,0.6,0.7590728880756328
0.1,100,0.6,0.8,0.7584629460201281
0.1,110,1.0,0.8,0.7581579749923757
0.1,110,1.0,0.6,0.757548032936871
0.1,90,1.0,0.6,0.7569380908813663
0.15000000000000002,90,0.6,1.0,0.7557182067703568
0.1,90,0.6,0.8,0.7554132357426044
0.1,100,1.0,0.6,0.7535834095760903
0.15000000000000002,100,1.0,1.0,0.7517535834095761
0.1,100,1.0,0.8,0.7490088441598048
0.1,80,0.6,0.8,0.7483989021043
0.15000000000000002,120,1.0,1.0,0.7471790179932907
0.15000000000000002,110,1.0,1.0,0.7456541628545288
0.1,80,1.0,0.8,0.7456541628545288
0.15000000000000002,90,1.0,1.0,0.7447392497712717
0.15000000000000002,80,1.0,1.0,0.7404696553827387
0.1,90,1.0,0.8,0.7365050320219579
0.1,110,0.8,1.0,0.7310155535224153
0.1,100,0.8,1.0,0.7179017993290637
0.1,120,0.8,1.0,0.7111924367185117
0.1,110,0.6,1.0,0.707227813357731
0.1,120,0.6,1.0,0.702958218969198
0.1,100,0.6,1.0,0.6999085086916743
0.1,80,0.8,1.0,0.693809088136627
0.1,80,0.6,1.0,0.6867947544983226
0.1,90,0.8,1.0,0.6852698993595608
0.1,100,1.0,1.0,0.67612076852699
0.1,90,0.6,1.0,0.6755108264714852
0.1,120,1.0,1.0,0.6715462031107045
0.1,90,1.0,1.0,0.6691064348886856
0.1,110,1.0,1.0,0.6688014638609332
0.1,80,1.0,1.0,0.6627020433058859
0.05,120,0.6,0.6,0.6334248246416591
0.05,110,0.6,0.6,0.6328148825861544
0.05,80,0.6,0.6,0.632509911558402
0.05,90,0.6,0.6,0.6245806648368405
0.05,100,0.6,0.6,0.6239707227813358
0.05,110,0.8,0.8,0.6105519975602318
0.05,80,0.8,0.8,0.6096370844769747
0.05,120,0.8,0.8,0.6035376639219274
0.05,100,0.8,0.8,0.603232692894175
0.05,90,0.8,0.8,0.6010978956999085
0.05,90,0.8,0.6,0.5946935041171089
0.05,120,0.8,0.6,0.5879841415065569
0.05,80,0.8,0.6,0.5876791704788045
0.05,110,0.6,0.8,0.5861543153400427
0.05,120,0.6,0.8,0.5846294602012809
0.05,110,0.8,0.6,0.5846294602012809
0.05,90,0.6,0.8,0.5837145471180238
0.05,80,0.6,0.8,0.5837145471180238
0.05,110,0.8,1.0,0.583104605062519
0.05,80,1.0,0.6,0.582189691979262
0.05,100,0.6,0.8,0.5818847209515096
0.05,110,1.0,0.6,0.5812747788960049
0.05,120,1.0,0.6,0.5809698078682525
0.05,120,1.0,0.8,0.5782250686184812
0.05,100,1.0,0.6,0.5779200975907289
0.05,100,0.8,0.6,0.5760902714242147
0.05,120,0.8,1.0,0.5745654162854529
0.05,90,1.0,0.6,0.5742604452577005
0.05,110,1.0,0.8,0.572125648063434
0.05,100,0.8,1.0,0.5699908508691675
0.05,100,1.0,0.8,0.5672461116193962
0.05,80,1.0,0.8,0.5669411405916438
0.05,120,0.6,1.0,0.5638914303141201
0.05,90,1.0,0.8,0.5599268069533394
0.05,110,0.6,1.0,0.5596218359255871
0.05,100,0.6,1.0,0.5541323574260445
0.05,80,0.8,1.0,0.5495577920097591
0.05,90,0.8,1.0,0.5477279658432449
0.05,80,0.6,1.0,0.5355291247331504
0.05,90,0.6,1.0,0.5321744434278743
0.05,120,1.0,1.0,0.5245501677340653
0.05,110,1.0,1.0,0.5239402256785606
0.05,100,1.0,1.0,0.5224153705397987
0.05,90,1.0,1.0,0.5074717901799329
0.05,80,1.0,1.0,0.501677340652638
